param_key,value
id,1
nombre,Jam�n Ib�rico
precio,39
cantidad,41
B1,A�adir al carrito
modo,entrar
login,caria
pwd,egipciaca
remember,off
B1,Entrar
id,2
errorMsg,Credenciales incorrectas
modo,insertar
precio,3230
B1,Pasar por caja
modo,registro
login,minthorn
password,ahorquillado
nombre,Isra�l
apellidos,Luna Barberan
email,pouyet@mcrspain.mh
dni,83073375C
direccion,"Calle Pamplona, 26"
ciudad,Arrankudiaga
cp,49740
provincia,Huesca
ntc,2656905158370014
B1,Registrar
B2,Vaciar carrito
login,nataraja
password,d4upa
nombre,Zoraida
apellidos,Heras Del Moral
email,lowry-carmine@filtraciondehumos.nc
dni,69549902H
direccion,"C/ Albercuix, 27,"
ciudad,�greda
cp,50369
provincia,Ourense
ntc,0017018534732457
nombre,Queso Manchego
precio,85
cantidad,65
login,frayda
pwd,422RdO
precio,9894
B1,Confirmar
login,neddie
password,laNC00DA
nombre,Sami
apellidos,Buxedas Murcia
email,aicher@shamballa-pneuma.gl
dni,47433551F
direccion,Calle Mor Artur 68
ciudad,Pozoblanco
cp,08585
ntc,9664721981046844
login,ye-sho
password,suscripta
nombre,Hans
apellidos,Steinle Funk
email,maxey@karldeux.cg
dni,12345246L
direccion,"Guatemala, 123, 5-H"
ciudad,Caraba�a
cp,46139
provincia,Barcelona
ntc,0198594046375467
precio,100
cantidad,34
login,walpole
pwd,6a6050ar
remember,on
precio,3103
login,lali8
password,e4Cu3e387
nombre,Febe
apellidos,Masa Lapray
email,medvedier_goalen@citiway.dd
dni,97689208C
direccion,"C/ Sebastian Llano 20,"
ciudad,Yebra
cp,26329
provincia,Lugo
ntc,6471068296996496
login,kuswara
password,potajier
nombre,Lucero
apellidos,Sole Mancisidor
email,calten@maletti.km
dni,80391645K
direccion,"Calle Argamasilla 111,"
ciudad,Rabanera del Pinar
cp,19392
provincia,Burgos
ntc,0845804646085451
nombre,Vino Rioja
cantidad,52
login,yaung
pwd,1es85l73a2
precio,1289
login,chopowic
password,mantenencia
nombre,Tarsilia
apellidos,Guerrero Nickl
email,moseley_woroner@x2.com.museum
dni,87741875A
direccion,Cami De Vallvidrera Al Tibidabo 105
ciudad,Cubillo
cp,36400
provincia,Sevilla
ntc,3583951356823388
login,caty
password,0arfan5�6
nombre,Lebana
apellidos,Merlo Mun�rriz
email,rourke@piaceredelivery.bb
dni,24163814Z
direccion,Calle Marques De Lamadrid 59
ciudad,Losacino
cp,31810
provincia,Le�n
ntc,1765173898024296
login,talbot
pwd,10e9n4d4r
precio,1589
login,bizga
password,plantar
apellidos,Berardi Vasconcellos
email,karapiet@novaservicios.gr
dni,99671070H
direccion,"Calle Antich 100,"
ciudad,Hoyos del Espino
cp,18538
provincia,Toledo
ntc,5359929901449416
login,grogan
password,?7391C7in1
nombre,Rayburn
apellidos,Cappuzzello Luciano
email,touliatos@intercambiodeenlaces.hr
dni,45262917K
direccion,"Ca�as, 128, 6-B"
ciudad,Higueruelas
cp,03420
provincia,Soria
ntc,2820199722482851
id,3
cantidad,20
login,zorana8
pwd,a0a�adora
precio,9819
login,juarez
password,fOlgAZana
nombre,Berina del Valle
apellidos,Bacardit Beguiriztain
email,arrabal.prosi@cirugiaplasticacordoba.ls
dni,00101492Q
direccion,Travesia Capitan Francisco Sanchez 48
ciudad,Villagat�n
cp,06518
ntc,7171963283594992
login,soullier
password,207ez
nombre,Benicio
apellidos,Borja Galdon
email,kempner@soyvalenciano.name
dni,29534800V
direccion,"Calle Tartana 195, 6C"
ciudad,Gar�noain
cp,41630
provincia,Valladolid
ntc,1769688171302236
cantidad,25
login,averill
pwd,dis2rim2_6
precio,6157
login,mahlen
password,6esba0b0l9L57
nombre,Benilde
apellidos,Labarca
email,herking.bellini7@zafranet.bj
dni,20910113P
direccion,"C/ Quart De Les Valls, 44 1?A"
ciudad,Villarejo de �rbigo
cp,30398
provincia,Teruel
ntc,5377607815069357
login,hattie
password,$MeZQuInO
nombre,Sulamita
apellidos,Puigferrer Ulldemol
email,lamond@movilgoogle.ir
dni,91502752N
direccion,"Calle Fray Hernando De Talavera, 155"
ciudad,Ventrosa
cp,05560
ntc,8821878942336286
cantidad,39
login,stalter
pwd,ag59h6diza
precio,9502
login,spyros
password,POsTreMERa
nombre,Quinciano
apellidos,Joseph Repizo
email,coogan-puente@19horas.ge
dni,15662869F
direccion,C/ja Ciegos S/N 5?D
ciudad,Viana do Bolo
cp,26312
provincia,Huelva
ntc,8021682596257423
login,mcadam
password,circunstante
nombre,Daner
apellidos,Perarnau Casas
email,barrat@dub�i.gf
dni,02729251W
direccion,"C/ Hermanos Pinzon, 55, 1?B"
ciudad,Almad�n
cp,05693
provincia,Zaragoza
ntc,3103622583877016
cantidad,64
login,krummell
pwd,es*tafilococo
precio,7569
login,jang
password,a?plan�tico
nombre,Abd�as
apellidos,Gus� Estopa
email,hulligan5@beltoan.com.je
dni,48395550P
direccion,"Calle Fusteria, S/N, 6C"
ciudad,Anna
cp,47191
provincia,Tarragona
ntc,9374224468960057
login,soroker
password,di7377dor
nombre,Sadia
apellidos,Kisines Selvas
email,unger-waldridge@nuestrasantacruz.dd
dni,87425645T
